id,value
id_0,25.494328745901882
id_1,64.73202580409654
id_2,19.456830971174977
id_3,29.34969689773941
id_4,9.143571415901794
id_5,32.332755236236224
id_6,40.75603731710885
id_7,18.396554298173854
id_8,51.188206901299495
id_9,33.51662842342327
id_10,39.343801574611206
id_11,59.110115021424924
id_12,34.11765053344146
id_13,40.892032670492156
id_14,26.878098784467042
id_15,13.352746075017194
id_16,51.74304900393907
id_17,24.017867574013128
id_18,17.416931416562637
id_19,19.01895812492305
id_20,14.089102815370373
id_21,31.411830148804363
id_22,38.942129373874366
id_23,11.22760195481008
id_24,64.4495733601435
id_25,47.005942726433254
id_26,28.741720014355387
id_27,6.884413394989468
id_28,30.481658852708378
id_29,37.47569440179708
id_30,16.846430305907038
id_31,11.032515418628815
id_32,16.93399701538967
id_33,7.756798782883022
id_34,16.431093005750213
id_35,42.30235245636206
id_36,20.145822205621993
id_37,27.29862206195892
id_38,10.065596177170635
id_39,59.53936118685049
id_40,47.56135666516206
id_41,24.14955794339192
id_42,52.9062128544364
id_43,19.428763048873506
id_44,46.299892219435385
id_45,49.67389596560136
id_46,56.94910700235016
id_47,42.9005592896248
id_48,57.20506923374557
id_49,38.507836788866285
id_50,29.385117313304725
id_51,24.2102044591001
id_52,40.305805026157465
id_53,23.775746479199558
id_54,37.094388545973835
id_55,40.12180871678873
id_56,24.683145121564177
id_57,21.280088360156448
id_58,36.79106278869901
id_59,32.109582919489185
id_60,13.376088270741771
id_61,21.818050890526965
id_62,31.75334523612757
id_63,54.92295051565145
id_64,50.787210122985854
id_65,25.479259897547365
id_66,38.79560901278282
id_67,51.41241222982308
id_68,28.023317568149558
id_69,36.61408994863769
id_70,66.06027597766412
id_71,55.69265099602225
id_72,42.64989348717002
id_73,13.086985129074787
id_74,14.185599375811087
id_75,35.6072674358907
id_76,62.1421520151144
id_77,2.8702575840392877
id_78,42.8268290861256
id_79,40.44980632582253
id_80,8.753054880754727
id_81,23.148241921852005
id_82,6.994729603690015
id_83,33.17069268702951
id_84,10.215293437736676
id_85,5.559067356063158
id_86,16.89050994443153
id_87,11.505551900365639
id_88,21.399094682272896
id_89,25.905837242387683
id_90,33.84297045215937
id_91,12.01175342671026
id_92,13.653918278346094
id_93,9.65391969675257
id_94,38.30565562722848
id_95,15.886721281198898
id_96,16.535588977922362
id_97,9.24770644669036
id_98,11.588544784551571
id_99,6.568355531570869
id_100,10.782300464352087
id_101,19.215797679155486
id_102,11.151257672514083
id_103,9.089972753917651
id_104,12.1781987623281
id_105,36.65397595237217
id_106,23.424997263984103
id_107,8.824435286564077
id_108,16.99661487667343
id_109,15.705348444400999
id_110,11.961858631628614
id_111,15.01552385796153
id_112,16.472952167808153
id_113,26.301750072131146
id_114,19.433033795026574
id_115,17.395518572803095
id_116,6.741375334267391
id_117,43.47750472212741
id_118,26.00495047641704
id_119,0.3560573418398269
id_120,0.8827008064352637
id_121,10.360061728023084
id_122,11.998822454088536
id_123,12.951265377458409
id_124,7.554103649179345
id_125,24.453611347530146
id_126,21.80042959571249
id_127,8.806689292754884
id_128,19.44555939666897
id_129,14.66927710920486
id_130,2.339952609585268
id_131,32.747948319544754
id_132,16.07816284917178
id_133,20.967481392020733
id_134,25.840678402742522
id_135,22.84995356265369
id_136,9.521391505493572
id_137,21.832286412109067
id_138,79.53246029867032
id_139,59.95027517587865
id_140,27.048648996033478
id_141,17.769107595387442
id_142,24.837005396596396
id_143,7.339741495135402
id_144,12.973530656736568
id_145,10.539825518556833
id_146,17.122830154104953
id_147,7.3242363037138265
id_148,11.718133677757645
id_149,13.9154832531071
id_150,46.71020347415902
id_151,20.61246234713199
id_152,21.166213598488294
id_153,14.97588037345616
id_154,16.102405745617855
id_155,23.306761683240886
id_156,21.572729770746168
id_157,36.95308709265637
id_158,5.268104963554261
id_159,22.00503688807786
id_160,42.67742437654905
id_161,18.917392492257886
