id,value
id_0,26.01102543840695
id_1,65.18900320882726
id_2,17.340695662567924
id_3,28.908255255399972
id_4,8.715098135746166
id_5,33.465858041122424
id_6,41.95887158134308
id_7,18.190006334091947
id_8,51.2110775195217
id_9,32.419020289059034
id_10,39.56367817499011
id_11,58.77811314711304
id_12,35.45631670517593
id_13,40.7109122763857
id_14,25.498005897306133
id_15,14.56244532333664
id_16,50.98071423212572
id_17,23.474186315364367
id_18,16.369663796208826
id_19,16.70175652224517
id_20,14.640327117538684
id_21,30.763435517501918
id_22,39.78850291756052
id_23,13.364287327795308
id_24,62.15693453866409
id_25,46.885857286418656
id_26,30.05851108223859
id_27,6.498241985357084
id_28,29.638458555996756
id_29,37.61056026085577
id_30,17.98093673336189
id_31,11.648603490748094
id_32,17.14838022895397
id_33,10.333719088500434
id_34,15.74303893355635
id_35,41.1363728528704
id_36,20.379308234374964
id_37,26.64383809395292
id_38,5.808148351663201
id_39,60.72932734077909
id_40,48.3301263323975
id_41,23.79172590476448
id_42,53.00425524524449
id_43,19.35788922759673
id_44,45.77767145343466
id_45,47.7300758134937
id_46,56.43348786681933
id_47,42.23368051976175
id_48,57.78554626673787
id_49,40.46588286167649
id_50,30.31651507456907
id_51,22.19366202293168
id_52,40.21898299648034
id_53,22.954370901460734
id_54,37.289488933383524
id_55,38.74843781523072
id_56,25.761383053734015
id_57,22.49318305642322
id_58,35.35622701834999
id_59,30.582940582747003
id_60,13.09896245248625
id_61,20.038247015919644
id_62,30.85552907646239
id_63,55.036909324823114
id_64,51.474707199932844
id_65,28.204811349542474
id_66,37.84189952103525
id_67,52.880387347443246
id_68,31.01617574288532
id_69,39.72220677017236
id_70,64.9571740059487
id_71,54.91732441810534
id_72,41.725013340924505
id_73,14.807158141568683
id_74,14.869529619982524
id_75,36.35126469728454
id_76,64.09497407499724
id_77,2.96634305005613
id_78,39.69904978818573
id_79,40.57689925759341
id_80,8.758015610121744
id_81,22.63406018199135
id_82,7.723241961290325
id_83,31.217026981753722
id_84,10.743512157933724
id_85,6.600158854618181
id_86,16.663340637808663
id_87,9.830141551659956
id_88,21.12336416271187
id_89,25.129648857253848
id_90,34.16252440118899
id_91,12.149314133946474
id_92,13.76159749745143
id_93,10.803546055297264
id_94,36.29657016273303
id_95,17.215832219308147
id_96,16.38658485813823
id_97,10.627741968024946
id_98,11.293063588626456
id_99,6.588876378252484
id_100,11.791485617218589
id_101,17.337544286666606
id_102,12.280045969037278
id_103,7.961963949071885
id_104,12.870194194939653
id_105,36.14894104076557
id_106,25.409115923090443
